"Sample Site Name","Long","Lat","Alt.m"
"MILANO (FONDAZIONE UNIMI - FILARETE)",9.203080556,45.43846111,126
"MOMBASA (KONGOWEA SECONDARY SCHOOL)",39.68775,-4.03862,49
"MONCTON (RPB)",-64.67861111,46.11222222,70.7
"MONTECRISTO",-89.373,14.381135,1580
"MONTERREY (RENIP)",-100.3166667,25.68333333,540
"MONTEVIDEO (UR-FA)",-56.2222854,-34.8350963,43
"MOOSONEE (RPB)",-80.61805556,51.29166667,9.1
"MPUNGU",18.230167,-17.675223,1130
"MUGUGA (RCGW)",36.650044,-1.2156526,2114
"NASSAU",-77.353,25.063,5
"NEUQUEN",-68.05449444,-38.93965278,324
"NUEVA ROCAFUERTE",-75.4,-0.92,180
"NYON",6.23380378665,46.3986411863,436
"OKANGWATI",13.274093,-17.430432,1096
"ORURO (P.P. GUERRA)",-67.10198914,-17.86304108,3719
"ORURO (POZO 11 SELA)",-66.93665018,-17.58483403,4066
"OSIEKO (YALA SWAMP)",34.02162,-0.00195,1140
"OTTAWA (RPB)",-75.67,45.32,-999
"OTTAWA-CNSC (RPB)",-75.67,45.32,114
"OYGAING",70.86955278,42.16336389,2175
"PACHUCA (RENIP)",-98.74965,20.08758,2365
"PIEDRAS NEGRAS (RENIP)",-100.54893,28.68356,251
"PISKEM",70.36733333,41.90994444,1268
"PORT HOPE (RPB)",-78.28333333,43.95,80.8
"PORTO VELHO (CPRM)",-63.86,-8.8,86
"POZA RICA (FCQ-UV)",-97.446986,20.508949,87
"POZO COLORADO",-58.79063519,-23.49681435,99
"PROCAFE",-89.286,13.685,967
"PUEBLO REAL",-90.97,14.74,2285
"PUERTO MADRYN",-65.05,-42.48,100
"PUERTO MONTT",-72.93,-41.47,13
"PUERTO SAN JULIAN",-67.7714,-49.2995,20
"PUNTA ARENAS",-70.51,-53,37
"PUTRE",-69.55917,-18.2,3500
"PUYO",-77.94388889,-1.5075,960
"QUEBEC (RPB)",-71.38166667,46.80361111,60
"QUERETARO (RENIP)",-100.3833333,20.6,1820
"QUITO-INAMHI",-78.4833333333333,-0.166666666666667,2789
"RAMNICU VALCEA",24.2841666666667,45.0352777777778,237
"RECIFE (CPRM)",-34.9,-8,5
"RECONQUISTA",-59.64388889,-29.14444444,50
"REGINA (RPB)",-104.61807,50.44718,577
"RESOLUTE (RPB)",-94.98,74.72,67
"RIO CLARO (UNESP)",-47.543743,-22.399288,614.49694
"ROSSENDORF RESEARCH SITE",13.952392,51.063036,292
"SACABA (EST MUNOZ)",-65.839936,-17.551445,2727
"SALTA",-65.4,-24.78,1187
"SALVADOR (CPRM)",-38.49,-12.97,50
"SAMARKAND",66.937044,39.633622,727
"SAMEDAN",9.878949582,46.526396777,1709
"SAN ANTONIO EV",-91.200961,13.995364,10
"SAN GABRIEL",-77.81944444,0.604166667,2860
"SAN LUIS (UNIV.)",-66.34,-33.29,730
"SAN MIGUEL",-88.159,13.439,99
"SAN SALVADOR (ILOPANGO)",-89.118,13.698,615
"SAN SALVADOR (UES)",-89.203,13.718,710
"SANDSPIT (RPB)",-131.8131269,53.249445,6.5
"SANTA FE",-60.73,-31.75,16
"SANTA ROSA",-64.305442,-36.560131,210
"SANTIAGO (QUINTA NORMAL)",-70.7,-33.45,520
"SANTO DOMINGO (OBS.)",-69.917,18.483,14
"SASKATOON (RPB)",-106.6244,52.141,502
"SAUGEEN (RPB)",-81.366667,44.433333,204
"SEVELEN",9.49,47.12,450
"SHAKHRISABZ",66.833589,39.070392,630
"SHERBROOKE (RPB)",-71.69138889,45.43861111,241.4
"SHIMBA HILLS",39.37058,-4.31359,230
"SIDNEY (RPB)",-123.4453791,48.6507688,5
"ST. GALLEN",9.4007768793,47.4269289828,779
"ST. JOHN'S (RPB)",-52.7525,47.61861111,140.5
"SUDBURY (RPB)",-80.79613333,46.63224722,348
"SUMMERLAND (RPB)",-119.6486944,49.56255556,454.2
"SVYATOHIRS'K",37.5698,49.03047,45
"TACUBAYA (RENIP)",-99.15,19.41666667,2700
"TAPACHULA (RENIP)",-92.296195,14.887186,128
"TARIJA (CALAMUNCHITA)",-64.8349635,-21.54162344,2205
"TARIJA (RINCON LA VICTORIA)",-64.82260605,-21.54310492,2215
"TASHKENT",69.295278,41.327944,475
"TEHUANTEPEQ",-91.103443,14.168625,60
"TERESINA (CPRM)",-42.8,-5.1,80
"TETELCO (RENIP)",-98.97137,19.21117,2271
"TOLEDO",-53.73,-24.72,560
